#SOD    DOY YEAR  NSATS   RX-LAT[DEG]     RX-LON[DEG]   RX-ALT[m]       EPE[m]   NPE[m]   UPE[m]  SIG-EPE  SIG-NPE  SIG-UPE   GDOP      PDOP     TDOP     HDOP     VDOP
 705.0   6 2015    7    43.428560448     1.497033394   252.614800000    0.819   -0.698   -0.840    3.674    4.668    9.318    2.554    2.210    1.279    1.179    1.870
 710.0   6 2015    7    43.428558545     1.497033705   253.185900000    0.844   -0.910   -0.269    3.675    4.670    9.314    2.553    2.210    1.279    1.179    1.869
 715.0   6 2015    7    43.428557361     1.497026027   252.130900000    0.222   -1.041   -1.324    3.676    4.671    9.311    2.552    2.209    1.278    1.179    1.868
 720.0   6 2015    7    43.428558982     1.497028334   253.058900000    0.409   -0.861   -0.396    3.678    4.673    9.307    2.552    2.209    1.278    1.180    1.867
 725.0   6 2015    7    43.428562053     1.497033540   254.502300000    0.831   -0.520    1.047    3.679    4.675    9.303    2.551    2.208    1.277    1.180    1.867
 730.0   6 2015    7    43.428564126     1.497029029   252.494000000    0.466   -0.290   -0.961    3.680    4.677    9.300    2.550    2.208    1.276    1.181    1.866
 735.0   6 2015    7    43.428559546     1.497026828   253.551400000    0.287   -0.798    0.096    3.681    4.678    9.296    2.550    2.208    1.276    1.181    1.865
 740.0   6 2015    7    43.428556468     1.497033653   253.684200000    0.840   -1.141    0.229    3.682    4.680    9.292    2.549    2.207    1.275    1.181    1.865
 745.0   6 2015    7    43.428562154     1.497026670   252.460800000    0.275   -0.509   -0.994    3.683    4.682    9.289    2.549    2.207    1.275    1.182    1.864
 750.0   6 2015    7    43.428559243     1.497031203   251.509100000    0.641   -0.832   -1.946    3.684    4.684    9.285    2.548    2.207    1.274    1.182    1.863
 755.0   6 2015    7    43.428558891     1.497033531   253.390700000    0.830   -0.871   -0.064    3.685    4.685    9.281    2.547    2.206    1.274    1.183    1.862
 760.0   6 2015    7    43.428562377     1.497033389   253.787200000    0.819   -0.484    0.332    3.687    4.687    9.277    2.547    2.206    1.273    1.183    1.862
 765.0   6 2015    7    43.428557808     1.497035187   252.869500000    0.964   -0.992   -0.586    3.688    4.689    9.274    2.546    2.205    1.273    1.183    1.861
 770.0   6 2015    7    43.428556927     1.497035147   252.957200000    0.961   -1.089   -0.498    3.689    4.691    9.270    2.546    2.205    1.272    1.184    1.860
 775.0   6 2015    7    43.428558794     1.497030719   252.495600000    0.602   -0.882   -0.959    3.690    4.692    9.266    2.545    2.204    1.272    1.184    1.859
 780.0   6 2015    7    43.428555054     1.497029432   252.017800000    0.498   -1.298   -1.437    3.691    4.694    9.263    2.544    2.204    1.271    1.185    1.859
 785.0   6 2015    7    43.428558966     1.497030412   252.539200000    0.578   -0.863   -0.916    3.692    4.696    9.259    2.544    2.204    1.270    1.185    1.858
 790.0   6 2015    7    43.428561714     1.497025704   252.337400000    0.196   -0.558   -1.118    3.693    4.697    9.255    2.543    2.203    1.270    1.185    1.857
 795.0   6 2015    7    43.428562078     1.497026954   252.643900000    0.297   -0.517   -0.811    3.695    4.699    9.252    2.543    2.203    1.270    1.186    1.857
 800.0   6 2015    7    43.428558451     1.497030695   253.604400000    0.600   -0.920    0.149    3.696    4.701    9.248    2.542    2.203    1.269    1.186    1.856
 805.0   6 2015    7    43.428562131     1.497026060   251.323600000    0.225   -0.511   -2.131    3.697    4.703    9.244    2.541    2.202    1.268    1.187    1.855
 810.0   6 2015    7    43.428557567     1.497032563   253.102800000    0.752   -1.018   -0.352    3.698    4.705    9.241    2.541    2.202    1.268    1.187    1.854
 815.0   6 2015    7    43.428560968     1.497032464   253.054600000    0.744   -0.640   -0.400    3.699    4.706    9.237    2.540    2.201    1.267    1.188    1.854
 820.0   6 2015    7    43.428559322     1.497029930   252.808300000    0.538   -0.823   -0.647    3.700    4.708    9.233    2.540    2.201    1.267    1.188    1.853
 825.0   6 2015    7    43.428557149     1.497034630   254.605500000    0.919   -1.065    1.151    3.701    4.710    9.230    2.539    2.201    1.266    1.188    1.852
 830.0   6 2015    7    43.428559185     1.497031587   253.410800000    0.673   -0.839   -0.044    3.703    4.712    9.226    2.538    2.200    1.266    1.189    1.851
 835.0   6 2015    7    43.428563194     1.497037677   253.586700000    1.166   -0.393    0.132    3.704    4.713    9.223    2.538    2.200    1.265    1.189    1.851
 840.0   6 2015    7    43.428563865     1.497033493   253.226400000    0.827   -0.319   -0.229    3.705    4.715    9.219    2.537    2.200    1.265    1.190    1.850
 845.0   6 2015    7    43.428565051     1.497031282   252.931700000    0.648   -0.187   -0.523    3.706    4.717    9.215    2.537    2.199    1.264    1.190    1.849
 850.0   6 2015    7    43.428555574     1.497034946   253.491500000    0.945   -1.240    0.036    3.707    4.719    9.212    2.536    2.199    1.264    1.190    1.849
 855.0   6 2015    7    43.428558231     1.497031506   251.842600000    0.666   -0.945   -1.612    3.708    4.721    9.208    2.535    2.198    1.263    1.191    1.848
 860.0   6 2015    7    43.428556513     1.497032157   252.709800000    0.719   -1.135   -0.745    3.709    4.723    9.204    2.535    2.198    1.263    1.191    1.847
 865.0   6 2015    7    43.428562582     1.497031365   252.857800000    0.655   -0.461   -0.597    3.711    4.724    9.201    2.534    2.198    1.262    1.192    1.846
 870.0   6 2015    7    43.428564952     1.497023844   251.311700000    0.046   -0.198   -2.143    3.712    4.726    9.197    2.534    2.197    1.262    1.192    1.846
 875.0   6 2015    7    43.428566772     1.497032233   252.763700000    0.725    0.004   -0.691    3.713    4.728    9.194    2.533    2.197    1.261    1.193    1.845
